specialty_id,procedure_id,visit_type,is_representative
1,proc_office_visit,standard,true
2,proc_office_visit,standard,true
3,proc_office_visit,standard,true
4,proc_office_visit,standard,true
5,proc_office_visit,standard,true
6,proc_office_visit,standard,true
7,proc_office_visit,standard,true
8,proc_office_visit,standard,true
9,proc_office_visit,standard,true
10,proc_office_visit,standard,true
11,proc_office_visit,standard,true
12,proc_office_visit,standard,true
13,proc_office_visit,standard,true
14,proc_office_visit,standard,true
15,proc_office_visit,standard,true
16,proc_office_visit,standard,true
17,proc_office_visit,standard,true
18,proc_office_visit,standard,true
19,proc_office_visit,standard,true
20,proc_office_visit,standard,true
21,proc_office_visit,standard,true
22,proc_office_visit,standard,true
23,proc_office_visit,standard,true
24,proc_office_visit,standard,true
25,proc_office_visit,standard,true
26,proc_office_visit,standard,true
27,proc_office_visit,standard,true
28,proc_office_visit,standard,true
29,proc_office_visit,standard,true
30,proc_office_visit,standard,true
31,proc_office_visit,standard,true
32,proc_office_visit,standard,true
33,proc_office_visit,standard,true
34,proc_office_visit,standard,true
35,proc_office_visit,standard,true
36,proc_office_visit,standard,true
37,proc_office_visit,standard,true
38,proc_office_visit,standard,true
39,proc_office_visit,standard,true
40,proc_office_visit,standard,true
41,proc_office_visit,standard,true
42,proc_office_visit,standard,true
43,proc_office_visit,standard,true
44,proc_office_visit,standard,true
45,proc_office_visit,standard,true
46,proc_office_visit,standard,true
47,proc_office_visit,standard,true
48,proc_office_visit,standard,true
49,proc_office_visit,standard,true
50,proc_office_visit,standard,true
51,proc_office_visit,standard,true
52,proc_office_visit,standard,true
53,proc_office_visit,standard,true
54,proc_office_visit,standard,true
55,proc_office_visit,standard,true
56,proc_office_visit,standard,true
57,proc_office_visit,standard,true
58,proc_office_visit,standard,true
59,proc_office_visit,standard,true
60,proc_office_visit,standard,true
61,proc_office_visit,standard,true
62,proc_office_visit,standard,true
63,proc_office_visit,standard,true
64,proc_office_visit,standard,true
65,proc_office_visit,standard,true
66,proc_office_visit,standard,true

